StudyVersion,SubjID,DataID,QuestionNum,PlayerColor,Question,Response,Notes,What is being coded,Code Response
pilot Zoom (2021),16,n/a,3,blue,"If you wanted to trick the other player, what would you do? ",4 blue ones and 2 red ones ,NA,0 to 6 marbles for themselve,4
pilot Zoom (2021),16,n/a,4,blue,"If you wanted to be nice to the other player, what would you do? ",Tell the truth? I don't understand what you mean. Tell the truth I guess. ,NA,0 to 6 marbles for themselves,3
pilot Zoom (2021),17,n/a,1,blue,Which one of these do you think is a trick ? ,All red. It's more likely to get at least 1 blue/ one of another color,NA,All one color vs Half,All one color 
pilot Zoom (2021),17,n/a,1,blue,Why do you think that is a trick?,All red. It's more likely to get at least 1 blue/ one of another color,NA,Plausibility? Y vs N,Y
pilot Zoom (2021),17,n/a,1,blue,Why do you think that is a trick?,All red. It's more likely to get at least 1 blue/ one of another color,NA,My points? Y vs N,N
pilot Zoom (2021),17,n/a,1,blue,Why do you think that is a trick?,All red. It's more likely to get at least 1 blue/ one of another color,NA,Opponent’s points? Y vs ,N
pilot Zoom (2021),17,n/a,2,blue,"When you were playing the game, and you saw 0 red marbles what would you tell the other player? ",I would say the truth because they'll think it's more likely to have another blue ,NA,0 to 6 marbles for themselves,3
pilot Zoom (2021),17,n/a,2,blue,Why would you say that?,I would say the truth because they'll think it's more likely to have another blue ,NA,Plausibility? Y vs N,Y
pilot Zoom (2021),17,n/a,2,blue,Why would you say that?,I would say the truth because they'll think it's more likely to have another blue ,NA,My points? Y vs N,N
pilot Zoom (2021),17,n/a,2,blue,Why would you say that?,I would say the truth because they'll think it's more likely to have another blue ,NA,Opponent’s points? Y vs N,N
pilot Zoom (2021),17,n/a,2,blue,Why would you say that?,I would say the truth because they'll think it's more likely to have another blue ,NA,Tricking for the sake of it (not paying attention to points)? Y vs N,N
pilot Zoom (2021),17,n/a,3,blue,"If you wanted to trick the other player, what would you do? ",all blues ,NA,0 to 6 marbles for themselve,6
pilot Zoom (2021),17,n/a,4,blue,"If you wanted to be nice to the other player, what would you do? ",do the truth ,NA,0 to 6 marbles for themselves,3
pilot Zoom (2021),19,visitor-6j8pj,1,blue,Which one of these do you think is a trick ? ,All red. Because it is not even.,NA,All one color vs Half,All one color 
pilot Zoom (2021),19,visitor-6j8pj,1,blue, Why do you think that is a trick?,All red. Because it is not even.,NA,Plausibility? Y vs N,N
pilot Zoom (2021),19,visitor-6j8pj,1,blue, Why do you think that is a trick?,All red. Because it is not even.,NA,My points? Y vs N,N
pilot Zoom (2021),19,visitor-6j8pj,1,blue, Why do you think that is a trick?,All red. Because it is not even.,NA,Opponent’s points? Y vs ,N
pilot Zoom (2021),19,visitor-6j8pj,2,blue,"When you were playing the game, and you saw 0 red marbles what would you tell the other player? ",It was a trick. The truth. 1 red marble.,NA,0 to 6 marbles for themselves,5
pilot Zoom (2021),19,visitor-6j8pj,2,blue,Why would you say that?,It was a trick. The truth. 1 red marble.,NA,Plausibility? Y vs N,NA
pilot Zoom (2021),19,visitor-6j8pj,2,blue,Why would you say that?,It was a trick. The truth. 1 red marble.,NA,My points? Y vs N,NA
pilot Zoom (2021),19,visitor-6j8pj,2,blue,Why would you say that?,It was a trick. The truth. 1 red marble.,NA,Opponent’s points? Y vs N,NA
pilot Zoom (2021),19,visitor-6j8pj,2,blue,Why would you say that?,It was a trick. The truth. 1 red marble.,NA,Tricking for the sake of it (not paying attention to points)? Y vs N,NA
pilot Zoom (2021),19,visitor-6j8pj,3,blue,"If you wanted to trick the other player, what would you do? ",Pick all red.,NA,0 to 6 marbles for themselve,0
pilot Zoom (2021),19,visitor-6j8pj,4,blue,"If you wanted to be nice to the other player, what would you do? ",Choose all red. ,NA,0 to 6 marbles for themselves,0
pilot Zoom (2021),20,visitor-jkrx7,1,red,Which one of these do you think is a trick ? ,the full blue one. I don't know. Because sometimes you don't always get the full set of one color. ,NA,All one color vs Half,All one color 
pilot Zoom (2021),20,visitor-jkrx7,1,red, Why do you think that is a trick?,the full blue one. I don't know. Because sometimes you don't always get the full set of one color. ,NA,Plausibility? Y vs N,Y
pilot Zoom (2021),20,visitor-jkrx7,1,red, Why do you think that is a trick?,the full blue one. I don't know. Because sometimes you don't always get the full set of one color. ,NA,My points? Y vs N,N
pilot Zoom (2021),20,visitor-jkrx7,1,red, Why do you think that is a trick?,the full blue one. I don't know. Because sometimes you don't always get the full set of one color. ,NA,Opponent’s points? Y vs ,N
pilot Zoom (2021),20,visitor-jkrx7,2,red,"When you were playing the game, and you saw 0 red marbles what would you tell the other player? ","I said it was the truth. (I asked again which set of marbles she would choose) she responded ""the full blue one."" because it has no red marables ",I asked the question after she said truth. I asked which set of marbles would you choose? Then she said the one with one. (I clarified that she mean't the 1 red marble and 5 blue marbles),0 to 6 marbles for themselves,5
pilot Zoom (2021),20,visitor-jkrx7,2,red,Why would you say that?,"I said it was the truth. (I asked again which set of marbles she would choose) she responded ""the full blue one."" because it has no red marables ",I asked the question after she said truth. I asked which set of marbles would you choose? Then she said the one with one. (I clarified that she mean't the 1 red marble and 5 blue marbles),Plausibility? Y vs N,Y
pilot Zoom (2021),20,visitor-jkrx7,2,red,Why would you say that?,"I said it was the truth. (I asked again which set of marbles she would choose) she responded ""the full blue one."" because it has no red marables ",I asked the question after she said truth. I asked which set of marbles would you choose? Then she said the one with one. (I clarified that she mean't the 1 red marble and 5 blue marbles),My points? Y vs N,N
pilot Zoom (2021),20,visitor-jkrx7,2,red,Why would you say that?,"I said it was the truth. (I asked again which set of marbles she would choose) she responded ""the full blue one."" because it has no red marables ",I asked the question after she said truth. I asked which set of marbles would you choose? Then she said the one with one. (I clarified that she mean't the 1 red marble and 5 blue marbles),Opponent’s points? Y vs N,N
pilot Zoom (2021),20,visitor-jkrx7,2,red,Why would you say that?,"I said it was the truth. (I asked again which set of marbles she would choose) she responded ""the full blue one."" because it has no red marables ",I asked the question after she said truth. I asked which set of marbles would you choose? Then she said the one with one. (I clarified that she mean't the 1 red marble and 5 blue marbles),Tricking for the sake of it (not paying attention to points)? Y vs N,N
pilot Zoom (2021),20,visitor-jkrx8,3,red,"If you wanted to trick the other player, what would you do? ","Do one that has more than it or less than it (I asked what she meant by ""it""). She said more red marbles. ",NA,0 to 6 marbles for themselve,NA
pilot Zoom (2021),20,visitor-jkrx9,4,red,"If you wanted to be nice to the other player, what would you do? ",I would do the true one ,NA,0 to 6 marbles for themselves,3
pilot Zoom (2021),21,visitor-th39o,1,red,Which one of these do you think is a trick ? ,"the blue. Cuz um there can be red, but he tricks the red into thinking its all blue. ",NA,All one color vs Half,All one color 
pilot Zoom (2021),21,visitor-th39o,1,red,Why do you think that is a trick?,"the blue. Cuz um there can be red, but he tricks the red into thinking its all blue. ",NA,Plausibility? Y vs N,Y
pilot Zoom (2021),21,visitor-th39o,1,red,Why do you think that is a trick?,"the blue. Cuz um there can be red, but he tricks the red into thinking its all blue. ",NA,My points? Y vs N,N
pilot Zoom (2021),21,visitor-th39o,1,red,Why do you think that is a trick?,"the blue. Cuz um there can be red, but he tricks the red into thinking its all blue. ",NA,Opponent’s points? Y vs ,N
pilot Zoom (2021),21,visitor-th39o,2,red,"When you were playing the game, and you saw 0 red marbles what would you tell the other player? ",I would choose the all red marables. Cuz if he tricks us that there are no red in the blue thing. Maybe we should check to see if there is no red in the blue thing ,NA,0 to 6 marbles for themselves,6
pilot Zoom (2021),21,visitor-th39o,2,red,Why would you say that?,I would choose the all red marables. Cuz if he tricks us that there are no red in the blue thing. Maybe we should check to see if there is no red in the blue thing ,NA,Plausibility? Y vs N,Y
pilot Zoom (2021),21,visitor-th39o,2,red,Why would you say that?,I would choose the all red marables. Cuz if he tricks us that there are no red in the blue thing. Maybe we should check to see if there is no red in the blue thing ,NA,My points? Y vs N,N
pilot Zoom (2021),21,visitor-th39o,2,red,Why would you say that?,I would choose the all red marables. Cuz if he tricks us that there are no red in the blue thing. Maybe we should check to see if there is no red in the blue thing ,NA,Opponent’s points? Y vs N,N
pilot Zoom (2021),21,visitor-th39o,2,red,Why would you say that?,I would choose the all red marables. Cuz if he tricks us that there are no red in the blue thing. Maybe we should check to see if there is no red in the blue thing ,NA,Tricking for the sake of it (not paying attention to points)? Y vs N,N
pilot Zoom (2021),21,visitor-th39o,3,red,"If you wanted to trick the other player, what would you do? ",um… I think I would go down from 3 blue to 4 blue to trick him,NA,0 to 6 marbles for themselve,3
pilot Zoom (2021),21,visitor-th39o,4,red,"If you wanted to be nice to the other player, what would you do? ",um I would play the same exact one so you won't trick him. ,NA,0 to 6 marbles for themselves,3
pilot Zoom (2021),22,visitor-f0efa,1,blue,Which one of these do you think is a trick ? ,"I think the all red one. Because, once I did a blue I got a red. when I did a blue trick and i thought the computer was doing the same as me. Its hard to get all of the same color every time. ",NA,All one color vs Half,All one color 
pilot Zoom (2021),22,visitor-f0efa,1,blue,Why do you think that is a trick?,"I think the all red one. Because, once I did a blue I got a red. when I did a blue trick and i thought the computer was doing the same as me. Its hard to get all of the same color every time. ",NA,Plausibility? Y vs N,Y
pilot Zoom (2021),22,visitor-f0efa,1,blue,Why do you think that is a trick?,"I think the all red one. Because, once I did a blue I got a red. when I did a blue trick and i thought the computer was doing the same as me. Its hard to get all of the same color every time. ",,My points? Y vs N,N
pilot Zoom (2021),22,visitor-f0efa,1,blue,Why do you think that is a trick?,"I think the all red one. Because, once I did a blue I got a red. when I did a blue trick and i thought the computer was doing the same as me. Its hard to get all of the same color every time. ",,Opponent’s points? Y vs ,N
pilot Zoom (2021),22,visitor-f0efa,2,blue,"When you were playing the game, and you saw 0 red marbles what would you tell the other player? ","probably say half blue and half red. To trick them, its not the same color ",NA,0 to 6 marbles for themselves,3
pilot Zoom (2021),22,visitor-f0efa,2,blue,Why would you say that?,"probably say half blue and half red. To trick them, its not the same color ",NA,Plausibility? Y vs N,Y
pilot Zoom (2021),22,visitor-f0efa,2,blue,Why would you say that?,"probably say half blue and half red. To trick them, its not the same color ",NA,My points? Y vs N,N
pilot Zoom (2021),22,visitor-f0efa,2,blue,Why would you say that?,"probably say half blue and half red. To trick them, its not the same color ",NA,Opponent’s points? Y vs N,N
pilot Zoom (2021),22,visitor-f0efa,2,blue,Why would you say that?,"probably say half blue and half red. To trick them, its not the same color ",NA,Tricking for the sake of it (not paying attention to points)? Y vs N,Y
pilot Zoom (2021),22,visitor-f0efa,3,blue,"If you wanted to trick the other player, what would you do? ","I would probably do… so I would do half blue half red. Hm... Four red, two blue ",NA,0 to 6 marbles for themselve,2
pilot Zoom (2021),22,visitor-f0efa,4,blue,"If you wanted to be nice to the other player, what would you do? ","I would probably do like all red or all blue, because they probably know that I wasn't actulaly telling the truth. ",NA,0 to 6 marbles for themselves,6
pilot Zoom (2021),23,visitor-fcqe0,1,blue ,Which one of these do you think is a trick ? ,"All red, because that's what happened in the game",I ,All one color vs Half,All one color 
pilot Zoom (2021),23,visitor-fcqe0,1,blue ,Why do you think that is a trick? ,"All red, because that's what happened in the game",I ,Plausibility? Y vs N,N
pilot Zoom (2021),23,visitor-fcqe0,1,blue ,Why do you think that is a trick? ,"All red, because that's what happened in the game",,My points? Y vs N,N
pilot Zoom (2021),23,visitor-fcqe0,1,blue ,Why do you think that is a trick? ,"All red, because that's what happened in the game",,Opponent’s points? Y vs ,N
pilot Zoom (2021),23,visitor-fcqe1,2,blue ,"When you were playing the game, and you saw 0 red marbles what would you tell the other player? ",3 blue 3 red; no follow up explanation ,NA,0 to 6 marbles for themselves,3
pilot Zoom (2021),23,visitor-fcqe1,2,blue ,Why would you say that? ,4 blue 3 red; no follow up explanation,NA,Plausibility? Y vs N,NA*
pilot Zoom (2021),23,visitor-fcqe1,2,blue ,Why would you say that? ,5 blue 3 red; no follow up explanation,,My points? Y vs N,NA*
pilot Zoom (2021),23,visitor-fcqe1,2,blue ,Why would you say that? ,6 blue 3 red; no follow up explanation,,Opponent’s points? Y vs N,NA*
pilot Zoom (2021),23,visitor-fcqe1,2,blue ,Why would you say that? ,7 blue 3 red; no follow up explanation,,Tricking for the sake of it (not paying attention to points)? Y vs N,NA*
pilot Zoom (2021),23,visitor-fcqe2,3,blue ,"If you wanted to trick the other player, what would you do? ",4 red and 2 blue,NA,0 to 6 marbles for themselve,2
pilot Zoom (2021),23,visitor-fcqe3,4,blue ,"If you wanted to be nice to the other player, what would you do? ",I would tell them the truth,NA,0 to 6 marbles for themselves,3
pilot Zoom (2021),24,visitor-oc9im,1,blue,Which one of these do you think is a trick? ,The red one. the all red. because they are trying to get as many points as they can. ,NA,All one color vs Half,All one color 
pilot Zoom (2021),24,visitor-oc9im,1,blue,Why do you think that is a trick? ,The red one. the all red. because they are trying to get as many points as they can. ,NA,Plausibility? Y vs N,N
pilot Zoom (2021),24,visitor-oc9im,1,blue,Why do you think that is a trick? ,The red one. the all red. because they are trying to get as many points as they can. ,NA,My points? Y vs N,N
pilot Zoom (2021),24,visitor-oc9im,1,blue,Why do you think that is a trick? ,The red one. the all red. because they are trying to get as many points as they can. ,NA,Opponent’s points? Y vs ,Y
pilot Zoom (2021),24,visitor-oc9im,2,blue,"When you were playing the game, and you saw 0 red marbles what would you tell the other player? ",that it was the truth. the one with 4 blue ones and 2 red ones. ,NA,0 to 6 marbles for themselves,4
pilot Zoom (2021),24,visitor-oc9im,2,blue,Why would you say that? ,that it was the truth. the one with 4 blue ones and 2 red ones. ,NA,Plausibility? Y vs N,NA
pilot Zoom (2021),24,visitor-fcqe1,2,blue ,Why would you say that? ,that it was the truth. the one with 4 blue ones and 2 red ones. ,,My points? Y vs N,NA
pilot Zoom (2021),24,visitor-fcqe1,2,blue ,Why would you say that? ,that it was the truth. the one with 4 blue ones and 2 red ones. ,,Opponent’s points? Y vs N,NA
pilot Zoom (2021),24,visitor-fcqe1,2,blue ,Why would you say that? ,that it was the truth. the one with 4 blue ones and 2 red ones. ,,Tricking for the sake of it (not paying attention to points)? Y vs N,NA
pilot Zoom (2021),24,visitor-oc9im,3,blue,"If you wanted to trick the other player, what would you do? ",um... the one on the screen is the one i got and i was trying to trick them? (I said mhmm) I would do all red. the other player would probably think that i would want to have as many of my color. so they would think it was a truth but it was a trick. ,NA,0 to 6 marbles for themselve,0
pilot Zoom (2021),24,visitor-oc9im,4,blue,"If you wanted to be nice to the other player, what would you do? ",nope. the middle one. ,NA,0 to 6 marbles for themselves,3
pilot Zoom (2021),25,visitor-uej4s,1,blue ,Which one of these sets of marbles do you think is a trick? ,um... the one  with al the reds. because you are trying to get more points. and they are saying that they got all the red. ,NA,All one color vs Half,all one color 
pilot Zoom (2021),25,visitor-uej4s,1,blue ,Why do you think that one is a trick? ,um... the one  with al the reds. because you are trying to get more points. and they are saying that they got all the red. ,NA,Plausibility? Y vs N,N
pilot Zoom (2021),25,visitor-uej4s,1,blue ,Why do you think that one is a trick? ,um... the one  with al the reds. because you are trying to get more points. and they are saying that they got all the red. ,NA,My points? Y vs N,N
pilot Zoom (2021),25,visitor-uej4s,1,blue ,Why do you think that one is a trick? ,um... the one  with al the reds. because you are trying to get more points. and they are saying that they got all the red. ,NA,Opponent’s points? Y vs ,Y
pilot Zoom (2021),25,visitor-uej4s,2,blue ,"When you shook the box and got no (color) marbles, what would you say to the other player?","I would say four blue marbles, two red ones. cuz if i said i got all blues, they would think it was a trick because I'm just trying to get all the points. But if I put only a few blues in there and leave some reds, then she might think that it's not a trick.  ",NA,0 to 6 marbles for themselves,4
pilot Zoom (2021),25,visitor-uej4s,2,blue ,Why would you say that? ,"I would say four blue marbles, two red ones. cuz if i said i got all blues, they would think it was a trick because I'm just trying to get all the points. But if I put only a few blues in there and leave some reds, then she might think that it's not a trick.  ",NA,Plausibility? Y vs N,N
pilot Zoom (2021),25,visitor-uej4s,2,blue ,Why would you say that? ,,,My points? Y vs N,Y
pilot Zoom (2021),25,visitor-uej4s,2,blue ,Why would you say that? ,,,Opponent’s points? Y vs N,Y
pilot Zoom (2021),25,visitor-uej4s,2,blue ,Why would you say that? ,,,Tricking for the sake of it (not paying attention to points)? Y vs N,N
pilot Zoom (2021),25,visitor-uej4s,3,blue ,"Let's say you shook the box and got this. What would you do, if you wanted to trick the other player? ",um. i'd say that i got all the blues ,NA,0 to 6 marbles for themselve,6
pilot Zoom (2021),25,visitor-uej4s,4,blue ,"Let's say you shook the box and got this. What would you do, if you wanted to be nice to the other player? ",i would say that i got 3 blues and 3 reds. ,NA,0 to 6 marbles for themselves,3
pilot Zoom (2021),26,visitor-rf295,1,blue ,Which one of these sets of marbles do you think is a trick? ,i think the all red is a trick. because all red marbles may not be. i thin there should be some red and some blue. all red doesn't sound right. ,NA,All one color vs Half,All one color 
pilot Zoom (2021),26,visitor-rf295,1,blue ,Why do you think that one is a trick? ,i think the all red is a trick. because all red marbles may not be. i thin there should be some red and some blue. all red doesn't sound right. ,NA,Plausibility? Y vs N,Y
pilot Zoom (2021),26,visitor-rf295,1,blue ,Why do you think that one is a trick? ,i think the all red is a trick. because all red marbles may not be. i thin there should be some red and some blue. all red doesn't sound right. ,NA,My points? Y vs N,N
pilot Zoom (2021),26,visitor-rf295,1,blue ,Why do you think that one is a trick? ,i think the all red is a trick. because all red marbles may not be. i thin there should be some red and some blue. all red doesn't sound right. ,NA,Opponent’s points? Y vs ,N
pilot Zoom (2021),26,visitor-rf296,2,blue ,"When you shook the box and got no (color) marbles, what would you say to the other player?",i would choose the 1 blue and rest red. i just think it would be a good trick ,NA,0 to 6 marbles for themselves,1
pilot Zoom (2021),26,visitor-rf296,2,blue ,Why did you say that? ,i would choose the 1 blue and rest red. i just think it would be a good trick ,NA,Plausibility? Y vs N,N
pilot Zoom (2021),26,visitor-rf296,2,blue ,Why did you say that? ,,,My points? Y vs N,N
pilot Zoom (2021),26,visitor-rf296,2,blue ,Why did you say that? ,,,Opponent’s points? Y vs N,N
pilot Zoom (2021),26,visitor-rf296,2,blue ,Why did you say that? ,,,Tricking for the sake of it (not paying attention to points)? Y vs N,Y
pilot Zoom (2021),26,visitor-rf297,3,blue ,"Let's say you shook the box and got this. What would you do, if you wanted to trick the other player? ",i would do all blue ,NA,0 to 6 marbles for themselve,6
pilot Zoom (2021),26,visitor-rf298,4,blue ,"Let's say you shook the box and got this. What would you do, if you wanted to be nice to the other player? ",i would be a true. i would choose the three blue and three reds. ,NA,1 to 6 marbles for themselves,3
pilot Zoom (2021),27,visitor-6dtte,1,blue ,Which one of these sets of marbles do you think is a trick? ,the one with 6 red marbles and no blue marbles,NA,All one color vs Half,all one color 
pilot Zoom (2021),27,visitor-6dtte,1,blue ,Why do you think that one is a trick? ,the one with 6 red marbles and no blue marbles,NA,Plausibility? Y vs N,NA
pilot Zoom (2021),27,visitor-6dtte,1,blue ,Why do you think that one is a trick? ,the one with 6 red marbles and no blue marbles,NA,My points? Y vs N,NA
pilot Zoom (2021),27,visitor-6dtte,1,blue ,Why do you think that one is a trick? ,the one with 6 red marbles and no blue marbles,NA,Opponent’s points? Y vs ,NA
pilot Zoom (2021),27,visitor-6dtte,2,blue ,"When you shook the box and got no (color) marbles, what would you say to the other player?",6 red marbles because they match,Answered trick at first. I repeated the question and he responded with one of the marble sets. ,2 to 6 marbles for themselves,0
pilot Zoom (2021),27,visitor-6dtte,2,blue ,Why would you say that? ,,,Plausibility? Y vs N,NA
pilot Zoom (2021),27,visitor-6dtte,2,blue ,Why would you say that? ,,,My points? Y vs N,NA
pilot Zoom (2021),27,visitor-6dtte,2,blue ,Why would you say that? ,,,Opponent’s points? Y vs N,NA
pilot Zoom (2021),27,visitor-6dtte,2,blue ,Why would you say that? ,,,Tricking for the sake of it (not paying attention to points)? Y vs N,NA
pilot Zoom (2021),27,visitor-6dtte,3,blue ,"Let's say you shook the box and got this. What would you do, if you wanted to trick the other player? ",first said true; then said 3 red marbles and 3 blue marbles ,NA,2 to 6 marbles for themselve,3
pilot Zoom (2021),27,visitor-6dtte,4,blue ,"Let's say you shook the box and got this. What would you do, if you wanted to be nice to the other player? ",3 red marbles and then 3 blue marbles,I asked the participant to clarify what a true was. ,2 to 6 marbles for themselves,3
pilot Zoom (2021),28,visitor-rg8j1,1,blue ,Which one of these sets of marbles do you think is a trick?,all red is a trick because they had more red marbles than she did,"not able to read, so she was confused many times",All one color vs Half,All one color 
pilot Zoom (2021),28,visitor-rg8j1,1,blue ,Why do you think that one is a trick? ,all red is a trick because they had more red marbles than she did,"not able to read, so she was confused many times",Plausibility? Y vs N,N
pilot Zoom (2021),28,visitor-rg8j1,1,blue ,Why do you think that one is a trick? ,all red is a trick because they had more red marbles than she did,"not able to read, so she was confused many times",My points? Y vs N,Y
pilot Zoom (2021),28,visitor-rg8j1,1,blue ,Why do you think that one is a trick? ,all red is a trick because they had more red marbles than she did,"not able to read, so she was confused many times",Opponent’s points? Y vs ,Y
pilot Zoom (2021),28,visitor-rg8j2,2,blue ,"When you shook the box and got no (color) marbles, what would you say to the other player?",2 blue marbles and 4 red marbles to trick the other player,NA,3 to 6 marbles for themselves,2
pilot Zoom (2021),28,visitor-rg8j2,2,blue ,Why would you say that? ,2 blue marbles and 4 red marbles to trick the other player,NA,Plausibility? Y vs N,N
pilot Zoom (2021),28,visitor-rg8j2,2,blue ,Why would you say that? ,2 blue marbles and 4 red marbles to trick the other player,NA,My points? Y vs N,N
pilot Zoom (2021),28,visitor-rg8j3,2,blue ,Why would you say that? ,3 blue marbles and 4 red marbles to trick the other player,NA,Opponent’s points? Y vs N,N
pilot Zoom (2021),28,visitor-rg8j4,2,blue ,Why would you say that? ,4 blue marbles and 4 red marbles to trick the other player,NA,Tricking for the sake of it (not paying attention to points)? Y vs N,Y
pilot Zoom (2021),28,visitor-rg8j3,3,blue ,"Let's say you shook the box and got this. What would you do, if you wanted to trick the other player? ",4 blue marbles and 2 red marbles,NA,3 to 6 marbles for themselve,4
pilot Zoom (2021),28,visitor-rg8j4,4,blue ,"Let's say you shook the box and got this. What would you do, if you wanted to be nice to the other player? ",I would tell them the truth,NA,3 to 6 marbles for themselves,3
pilot Zoom (2021),29,visitor-iwrte,1,blue ,Which one of these sets of marbles do you think is a trick? ,all the red. because they are tricking us with all the red. it would be three and three ,NA,All one color vs Half,All one color
pilot Zoom (2021),29,visitor-iwrte,1,blue ,Why do you think that one is a trick?,all the red. because they are tricking us with all the red. it would be three and three ,NA,Plausibility? Y vs N,Y
pilot Zoom (2021),29,visitor-iwrte,1,blue ,Why do you think that one is a trick?,all the red. because they are tricking us with all the red. it would be three and three ,NA,My points? Y vs N,N
pilot Zoom (2021),29,visitor-iwrte,1,blue ,Why do you think that one is a trick?,all the red. because they are tricking us with all the red. it would be three and three ,NA,Opponent’s points? Y vs ,N
pilot Zoom (2021),29,visitor-iwrte,2,blue ,"When you shook the box and got no (color) marbles, what would you say to the other player?",I got all blue marbles. because it would trick them and they would think it was the truth,NA,4 to 6 marbles for themselves,6
pilot Zoom (2021),29,visitor-iwrte,2,blue ,Why would you say that? ,I got all blue marbles. because it would trick them and they would think it was the truth,NA,Plausibility? Y vs N,N
pilot Zoom (2021),29,visitor-iwrte,2,blue ,Why would you say that? ,I got all blue marbles. because it would trick them and they would think it was the truth,NA,My points? Y vs N,N
pilot Zoom (2021),29,visitor-iwrte,2,blue ,Why would you say that? ,I got all blue marbles. because it would trick them and they would think it was the truth,NA,Opponent’s points? Y vs N,N
pilot Zoom (2021),29,visitor-iwrte,2,blue ,Why would you say that? ,I got all blue marbles. because it would trick them and they would think it was the truth,NA,Tricking for the sake of it (not paying attention to points)? Y vs N,Y
pilot Zoom (2021),29,visitor-iwrte,3,blue ,"Let's say you shook the box and got this. What would you do, if you wanted to trick the other player? ",say all red. ,NA,4 to 6 marbles for themselve,0
pilot Zoom (2021),29,visitor-iwrte,4,blue ,"Let's say you shook the box and got this. What would you do, if you wanted to be nice to the other player? ",i would the same thing. three red and three blue. ,NA,4 to 6 marbles for themselves,3
